Actual Time	Age	Community Building	Community Membership_Family	Community Membership_Hobbies	Community Membership_None	Community Membership_Other	Community Membership_Political	Community Membership_Professional	Community Membership_Religious	Community Membership_Support	Country	Disability_Cognitive	Disability_Hearing	Disability_Motor	Disability_Not Impaired	Disability_Not Say	Disability_Vision	Education Attainment	Falsification of Information	Gender	Household Income	How You Heard About Survey_Banner	How You Heard About Survey_Friend	How You Heard About Survey_Mailing List	How You Heard About Survey_Others	How You Heard About Survey_Printed Media	How You Heard About Survey_Remebered	How You Heard About Survey_Search Engine	How You Heard About Survey_Usenet News	How You Heard About Survey_WWW Page	Major Geographical Location	Major Occupation	Marital Status	Most Import Issue Facing the Internet	Opinions on Censorship	Primary Computing Platform	Primary Language	Primary Place of WWW Access	Race	Not Purchasing_Bad experience	Not Purchasing_Bad press	Not Purchasing_Cant find	Not Purchasing_Company policy	Not Purchasing_Easier locally	Not Purchasing_Enough info	Not Purchasing_Judge quality	Not Purchasing_Never tried	Not Purchasing_No credit	Not Purchasing_Not applicable	Not Purchasing_Not option	Not Purchasing_Other	Not Purchasing_Prefer people	Not Purchasing_Privacy	Not Purchasing_Receipt	Not Purchasing_Security	Not Purchasing_Too complicated	Not Purchasing_Uncomfortable	Not Purchasing_Unfamiliar vendor	Registered to Vote	Sexual Preference	Web Ordering	Web Page Creation	Who Pays for Access_Don't Know	Who Pays for Access_Other	Who Pays for Access_Parents	Who Pays for Access_School	Who Pays for Access_Self	Who Pays for Access_Work	Willingness to Pay Fees	Years on Internet	who
Health Care Worker	40	More	0	0	0	0	0	1	1	0	California	0	0	0	1	0	0	Special	Never	Female	$40-49	0	0	0	0	0	0	0	0	1	USA	Other	Single	Privacy	2		English	Home	White	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	1	0	0	0	Already paying	Under 6 mo	id99788
Technician	54	Dont Know	0	0	1	0	0	0	0	0	Texas	0	0	0	1	0	0	Some College	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Privacy	1		English	Home	White	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Other sources	6-12 mo	id90488
Retired	51	More	0	1	0	0	0	0	0	0	Texas	1	0	0	0	0	0	Masters	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Censorship	4		English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Not say	No	No	0	0	0	0	1	0	Already paying	6-12 mo	id95356
Other	28	More	0	1	0	0	0	0	0	0	Ohio	0	0	0	1	0	0	Masters	Never	Male	$50-74	0	0	0	1	0	0	0	0	0	USA	Education	Married	Other	1	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	1-3 yr	id61266
K-12 Educator	28	More	0	0	0	1	0	0	0	0	Arizona	0	0	0	1	0	0	College	26-50	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Education	Single	Culture	1	Win95	English	Primarily work	Latino	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	1	0	0	Already paying	1-3 yr	id97216
Health Care Worker	51	Dont Know	0	0	0	0	0	0	0	1	British Columbia	0	0	1	0	0	0	Some College	Not Say	Male	$40-49	0	0	0	0	0	0	0	1	0	Canada	Other	Married	Other	4	Windows	English	Home	Not Say	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	Yes	Not say	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id98620
College Student	18	Dont Know	0	0	1	0	0	0	0	0	New York	0	0	0	1	0	0	Some College	26-50	Female	Under $10	0	0	0	0	0	0	1	0	0	USA	Education	Single	Privacy	4	Win95	English	School	White	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	No	Heterosexual	Yes	No	0	0	0	1	0	0	Other sources	Under 6 mo	id94427
Health Care Worker	46	More	1	1	0	0	0	1	0	1	Florida	0	0	0	1	0	0	High School	Under 25	Female	$20-29	1	0	0	0	0	0	0	0	0	USA	Other	Divorced	Privacy	1		English	Primarily home	White	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	Under 6 mo	id95444
Other	35	More	0	1	0	0	0	1	0	0	Connecticut	0	0	0	1	0	0	Some College	Never	Male	$30-39	0	0	0	1	0	0	0	0	0	USA	Computer	Single	Other	1	Windows	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id96272
Other	31	Dont Know	0	0	0	1	0	0	0	0	Virginia	0	0	0	1	0	0	Some College	Under 25	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Computer	Single	Other	1	Unix	English	Primarily work	Asian	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Other sources	4-6 yr	id94602
K-12 Educator	48	Dont Know	0	0	0	0	0	1	0	0	Nebraska	0	1	0	0	0	0	Masters	Under 25	Female	$50-74	0	0	0	0	0	0	1	0	0	USA	Education	Married	Encryption	4	Win95	English	Primarily home	White	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	1	1	0	Don't trust	1-3 yr	id98821
Programmer	25	Dont Know	0	0	1	0	0	0	0	0	Maryland	0	0	0	0	0	1	College	Never	Female	$75-99	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	1	PC Unix	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Already paying	1-3 yr	id91316
Administrator/Secretary	55	More	0	0	0	0	1	0	0	1	New York	0	0	0	1	0	0	Masters	26-50	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Professional	Other	Privacy	2	Macintosh	English	Primarily home	White	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	Yes	Lesbian	Yes	No	0	0	0	0	1	0	Other sources	6-12 mo	id92047
K-12 Educator	34	More	1	1	0	0	1	1	0	0	Pennsylvania	0	0	0	1	0	0	Masters	Never	Male	$40-49	0	0	0	0	0	0	1	0	1	USA	Education	Married	Censorship	2	Macintosh	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	4-6 yr	id92082
Other	40	Equally	0	0	1	0	0	0	0	0	Massachusetts	0	0	0	1	0	0	High School	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Encryption	1	Win95	English	Home	White	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Not say	Yes	No	0	0	0	0	1	0	Already paying	4-6 yr	id92712
Other	32	More	0	1	0	0	1	0	0	0	Washington D.C.	0	0	0	1	0	0	Masters	Never	Female	$20-29	0	1	0	0	0	0	0	0	0	USA	Professional	Other	Privacy	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	No	Heterosexual	Yes	No	0	1	0	0	0	1	Other	1-3 yr	id92234
College Student	23	More	1	0	0	0	0	0	0	0	Alaska	0	0	0	1	0	0	Some College	26-50	Male	Under $10	0	0	0	0	0	0	1	0	0	USA	Education	Other	Privacy	4	OS2	English	School	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Already paying	1-3 yr	id96201
Other	15	More	0	0	0	1	0	0	0	0	Pennsylvania	0	0	0	1	0	0	Grammar	Not Say	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Education	Single	Privacy	4		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	No	Heterosexual	Dont know	No	0	0	1	0	0	0	Other	Under 6 mo	id96662
Other	46	More	0	0	0	1	0	0	0	0	Georgia	0	0	0	1	0	0	College	Never	Male	$75-99	0	1	0	0	0	0	0	0	0	USA	Computer	Single	Taxes	1	Macintosh	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	1-3 yr	id18376
Manager	49	More	1	0	0	0	1	1	0	0	Massachusetts	0	0	0	1	0	0	Some College	51-75	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	Yes	Not say	Yes	Yes	0	0	0	0	1	0	Payment mechanism	4-6 yr	id95090
Retired	64	Dont Know	0	0	0	0	0	0	0	1	Illinois	0	0	0	1	0	0	Doctoral	NA	Female	$50-74	0	0	0	1	0	0	0	0	0	USA	Other	Single	Privacy	3		English	Home	White	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	1-3 yr	id90570
College Student	23	More	0	0	0	0	0	0	0	1	Iowa	0	0	0	1	0	0	College	Under 25	Male	Under $10	0	0	0	0	0	0	0	0	1	USA	Education	Single	Language	4	Unix	Chinese	School	Asian	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	No	No	0	0	0	1	0	0	Already paying	Under 6 mo	id95882
Retired	60	Equally	1	1	0	0	0	0	0	1	South Carolina	0	0	0	1	0	0	College	Never	Female	Not Say	0	0	0	0	0	0	0	1	1	USA	Other	Widowed	Navigation	4		English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	6-12 mo	id96251
Homemaker	37	More	0	0	0	0	0	0	0	1	Pennsylvania	0	0	0	1	0	0	Some College	26-50	Female	$10-19	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Navigation	1		English	Home	White	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	6-12 mo	id90572
Manager	35	Equally	0	0	1	0	0	0	0	0	Switzerland	0	0	0	0	1	0	Doctoral	51-75	Male	Over $100	0	0	0	0	0	0	1	0	0	Europe	Management	Married	Privacy	1	Windows	German	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Poor quality	4-6 yr	id93210
College Student	25	Dont Know	0	0	1	0	0	0	0	0	Pennsylvania	0	0	0	1	0	0	College	Never	Female	Not Say	0	0	0	0	0	0	1	0	0	USA	Education	Single	Navigation	1	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	No	Heterosexual	Yes	No	0	0	0	1	0	0	Cost too high	1-3 yr	id96218
Manager	26	More	0	1	0	0	0	1	0	0	British Columbia	0	0	0	1	0	0	Special	Under 25	Male	$40-49	0	0	0	0	0	0	0	0	1	Canada	Management	Married	Privacy	2	Win95	English	Primarily home	White	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Other sources	1-3 yr	id95542
Technician	30	Dont Know	0	0	1	0	0	0	0	0	British Columbia	0	0	0	1	0	0	High School	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	Canada	Professional	Single	Navigation	2	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Poor quality	6-12 mo	id96274
Other	39	More	0	1	0	0	0	0	0	0	Alberta	0	0	0	1	0	0	Some College	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	Canada	Computer	Separated	Taxes	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	1	0	0	Other sources	1-3 yr	id92713
Other	37	More	1	1	0	0	0	1	0	0	New York	0	0	0	1	0	0	Masters	Never	Male	$75-99	0	0	0	1	0	0	0	0	0	USA	Professional	Married	Encryption	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id95974
Service Industry Occupation	53	More	1	1	0	1	1	1	1	1	Ohio	0	0	0	1	0	0	Some College	Never	Male	$40-49	1	1	0	1	1	0	1	1	1	USA	Other	Married	Privacy	1		English	Home	White	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id92795
Other	26	More	1	1	0	0	0	1	0	0	California	0	0	0	1	0	0	College	Never	Male	Over $100	0	0	0	0	0	0	1	0	0	USA	Computer	Single	Navigation	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Bisexual	Yes	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id95354
College Student	26	Equally	0	1	0	0	0	1	0	0	Germany	0	0	0	0	0	1	Masters	26-50	Male	$10-19	0	0	1	0	0	0	0	0	0	Europe	Education	Single	Navigation	1	Macintosh	German	Primarily work	White	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	Yes	Yes	0	0	0	0	0	1	"Yes, regardless"	4-6 yr	id95784
Mircocomputer	42	Equally	0	0	0	0	0	1	0	0	Australia	0	0	0	0	0	1	College	Never	Male	$75-99	0	0	0	0	0	0	0	1	0	Oceania	Computer	Married	Censorship	4	NT	Chinese	Primarily work	Asian	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	Over 7 yr	id98945
Other	46	Equally	0	1	0	0	0	0	0	0	California	0	0	0	1	0	0	Masters	NA	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Encryption	3		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Gay male	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90574
Homemaker	23	More	1	1	0	1	0	0	0	1	Oregon	0	0	0	1	0	0	Some College	26-50	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	4	Windows	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	Yes	Heterosexual	Yes	No	0	1	0	0	0	0	Already paying	1-3 yr	id95689
Homemaker	50	Dont Know	0	0	1	0	0	0	0	0	Texas	0	0	0	1	0	0	High School	Under 25	Female	Not Say	0	0	0	1	0	0	0	0	0	USA	Other	Married	Privacy	1		English	Home	White	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	Not Applicable	Bisexual	No	No	0	0	0	0	1	0	Other sources	6-12 mo	id90577
Other	29	More	0	1	0	1	0	0	0	0	Illinois	0	0	0	1	0	0	Some College	Under 25	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Not say	Yes	Yes	0	0	0	0	1	0	Other sources	Under 6 mo	id98418
Other	35	More	1	1	0	0	0	0	0	0	Ohio	0	0	0	1	0	0	High School	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Management	Married	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	Under 6 mo	id93045
Other	40	More	0	0	0	1	0	0	0	0	British Columbia	0	0	0	1	0	0	High School	Under 25	Female	$30-39	0	0	0	1	0	0	0	0	0	Canada	Computer	Separated	Taxes	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id98075
College Student	33	More	0	1	0	0	0	0	0	0	Georgia	0	0	0	1	0	0	Masters	Under 25	Male	$10-19	0	0	0	1	0	0	0	0	0	USA	Education	Single	Other	3	Macintosh	English	School	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Other sources	4-6 yr	id94607
Other	53	More	0	0	0	1	0	0	0	1	California	0	0	0	1	0	0	Masters	NA	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Professional	Divorced	Privacy	1		English	Home	White	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Gay male	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id98419
K-12 Student	17	Equally	0	0	1	0	0	0	0	0	New Zealand	0	0	0	1	0	0	Grammar	Under 25	Male	Over $100	0	0	0	0	0	0	0	0	1	Oceania	Education	Single	Taxes	1	Win95	English	Home	White	1	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	No	Heterosexual	Yes	Yes	0	0	1	0	0	0	Already paying	6-12 mo	id95877
Other	39	More	0	1	0	0	0	0	0	0	Georgia	0	0	0	1	0	0	College	Under 25	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	1	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id92735
Military	28	More	0	1	0	0	0	0	0	0	Maryland	0	0	0	1	0	0	High School	Over 75	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id92714
College Student	19	Equally	0	0	1	0	0	0	0	0	North Carolina	0	0	0	1	0	0	High School	Never	Male	Under $10	0	0	0	1	0	0	0	0	0	USA	Education	Single	Dont Know	2	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	1	1	0	Other sources	Under 6 mo	id95361
Designer	Not Say!	Equally	1	0	0	0	0	1	0	0	New York	0	0	0	1	0	0	Masters	Under 25	Female	$40-49	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Privacy	1	Macintosh	English	Primarily work	White	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	4-6 yr	id95003
IS	34	Dont Know	0	1	0	0	0	0	0	0	Netherlands	0	0	0	1	0	0	Masters	Under 25	Male	Over $100	0	0	0	0	1	0	0	0	1	Europe	Computer	Other	Censorship	1	Win95	Dutch	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Poor quality	1-3 yr	id97691
Retired	69	Less	0	0	1	0	0	0	0	0	Florida	0	0	0	1	0	0	Some College	Never	Male	$40-49	0	0	0	1	0	0	0	0	0	USA	Other	Married	Other	1	Windows	EnglishAmerican Southern	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Bisexual	Yes	No	0	0	0	0	1	0	Already paying	4-6 yr	id98666
Other	30	More	1	1	0	0	0	0	0	0	Washington	0	0	0	1	0	0	College	Never	Male	$50-74	0	0	1	0	0	0	0	0	0	USA	Professional	Other	Censorship	2	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Poor quality	1-3 yr	id94207
Other	50	More	0	0	0	0	0	0	0	1	Minnesota	0	0	0	1	0	0	High School	Never	Female	$10-19	0	0	0	0	0	0	0	0	1	USA	Management	Divorced	Navigation	1		English	Home	White	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	1-3 yr	id93662
Other	40	Equally	1	0	0	0	0	0	0	0	Italy	0	0	0	1	0	0	College	Under 25	Male	$50-74	0	0	1	0	0	1	0	1	0	Europe	Management	Married	Privacy	4	Win95	English	Primarily work	White	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	Not Applicable	Heterosexual	Yes	No	0	0	0	0	1	0	Payment mechanism	1-3 yr	id70324
Retired	57	Dont Know	0	0	0	1	0	0	0	0	California	0	0	0	1	0	0	Grammar	Never	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Other	Married	Other	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id92806
IS	35	More	1	1	0	1	1	1	1	1	California	0	0	0	1	0	0	Some College	Under 25	Male	$50-74	1	0	0	0	1	1	0	0	1	USA	Computer	Married	Privacy	4	Win95	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Cost too high	Over 7 yr	id93258
K-12 Educator	55	Dont Know	0	0	1	0	0	0	0	0	New Hampshire	0	0	0	1	0	0	Masters	NA	Female	$40-49	0	0	0	0	0	0	1	0	0	USA	Education	Other	Privacy	3	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id92294
Other	33	More	0	0	0	0	0	1	0	0	France	0	0	0	1	0	0	College	Under 25	Male	$40-49	0	0	0	1	0	0	0	0	0	Europe	Computer	Separated	Privacy	2	Macintosh	French	Primarily work	Not Say	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	Yes	Not say	Yes	No	0	0	0	0	1	0	Other sources	4-6 yr	id98599
K-12 Educator	46	Dont Know	1	0	0	0	0	0	0	0	Yukon	0	0	0	0	1	0	Other	Not Say	Male	$75-99	0	0	0	0	0	0	0	0	1	Canada	Education	Not Say	Privacy	1	Macintosh	English	Primarily home	Not Say	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Not Say	Not say	No	No	0	0	0	0	1	0	Already paying	1-3 yr	id99714
Writer/Journalist	24	More	0	0	0	0	1	0	0	0	New Hampshire	0	0	0	0	0	1	College	NA	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Taxes	4	Win95	English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	Yes	Heterosexual	No	No	0	0	0	0	1	1	Already paying	1-3 yr	id20391
Retired	74	More	1	1	0	0	1	0	0	0	Michigan	0	0	0	1	0	0	Some College	Under 25	Male	Not Say	0	0	0	0	0	0	0	1	0	USA	Other	Married	Taxes	3		English	Home	White	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	6-12 mo	id98076
College Student	22	More	0	1	0	0	1	0	0	0	New York	1	0	0	1	0	0	Some College	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Education	Single	Censorship	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Other sources	1-3 yr	id98639
IS	52	Dont Know	0	0	1	0	0	0	0	0	United Kingdom	0	0	0	1	0	0	College	Under 25	Male	$30-39	0	0	0	0	1	0	0	0	0	Europe	Computer	Divorced	Censorship	2	Win95	English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Other sources	1-3 yr	id95445
CIO	42	Dont Know	1	0	0	0	0	1	0	0	Texas	0	0	0	1	0	0	Some College	Over 75	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Computer	Divorced	Censorship	1	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	4-6 yr	id99926
Looking	53	Equally	0	1	0	1	0	0	0	0	California	0	0	0	1	0	0	Some College	Never	Male	Under $10	0	0	0	1	0	0	0	0	0	USA	Other	Single	Navigation	2		English	Home	Not Say	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Already paying	6-12 mo	id98434
College Educator	56	More	0	0	0	1	1	1	0	0	Maryland	0	0	0	1	0	0	Doctoral	26-50	Female	Not Say	0	0	1	0	0	0	0	0	0	USA	Education	Married	Navigation	3	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	Over 7 yr	id94514
K-12 Educator	38	Dont Know	0	0	1	0	0	0	0	0	Michigan	0	0	0	1	0	0	College	Never	Male	$20-29	0	0	0	1	0	0	0	0	0	USA	Education	Single	Don't Know	4		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Cost too high	6-12 mo	id95392
Engineer	36	Equally	0	0	1	0	0	0	0	0	Australia	0	0	0	1	0	0	College	Under 25	Male	$50-74	0	0	0	0	0	0	0	0	1	Oceania	Professional	Married	Navigation	1	Win95	English	Primarily home	White	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	1	Already paying	1-3 yr	id95393
Programmer	30	More	1	1	0	0	0	1	0	0	British Columbia	0	0	0	1	0	0	Masters	Under 25	Male	$40-49	0	0	0	0	0	0	0	0	1	Canada	Computer	Single	Censorship	1	Win95	English	Primarily work	Other	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	Over 7 yr	id98440
Other	60	More	0	0	0	1	0	0	0	0	Michigan	0	0	0	1	0	0	Some College	Never	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Navigation	3		English	Home	White	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id91019
Manager	26	Dont Know	0	0	0	0	0	0	0	1	New York	0	0	0	1	0	0	College	Not Say	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Management	Single	Privacy	4		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id99591
K-12 Student	16	More	0	1	0	0	0	0	0	0	Texas	0	0	0	1	0	0	Grammar	Never	Female	$40-49	0	0	0	0	0	0	0	0	1	USA	Education	Single	Privacy	1	Windows	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	No	Heterosexual	No	No	0	0	1	0	0	0	Already paying	1-3 yr	id95539
